jobname,code,unemployed.2018-01-05,vacancies.2018-01-05,unemployed.2018-01-06,vacancies.2018-01-06,unemployed.2018-01-07,vacancies.2018-01-07,unemployed.2018-01-08,vacancies.2018-01-08,unemployed.2018-01-09,vacancies.2018-01-09,unemployed.2018-01-10,vacancies.2018-01-10,unemployed.2018-01-11,vacancies.2018-01-11,unemployed.2018-01-12,vacancies.2018-01-12,unemployed.2019-01-01,vacancies.2019-01-01,unemployed.2019-01-02,vacancies.2019-01-02,unemployed.2019-01-03,vacancies.2019-01-03,unemployed.2019-01-04,vacancies.2019-01-04,unemployed.2019-01-05,vacancies.2019-01-05,unemployed.2019-01-06,vacancies.2019-01-06,unemployed.2019-01-07,vacancies.2019-01-07,unemployed.2019-01-08,vacancies.2019-01-08,unemployed.2019-01-09,vacancies.2019-01-09,unemployed.2019-01-10,vacancies.2019-01-10,unemployed.2019-01-11,vacancies.2019-01-11,unemployed.2019-01-12,vacancies.2019-01-12,unemployed.2020-01-01,vacancies.2020-01-01,unemployed.2020-01-02,vacancies.2020-01-02,unemployed.2020-01-03,vacancies.2020-01-03,unemployed.2020-01-04,vacancies.2020-01-04,unemployed.2020-01-06,vacancies.2020-01-06,unemployed.2020-01-07,vacancies.2020-01-07,unemployed.2020-01-08,vacancies.2020-01-08,unemployed.2020-01-09,vacancies.2020-01-09
військовослужбовець,1001,4570.0,0.0,4162.0,0.0,3854.0,0.0,3583.0,0.0,3599.0,0.0,3621.0,0.0,3702.0,0.0,3679.0,0.0,3605.0,0.0,3504.0,0.0,3450.0,0.0,3509.0,0.0,3566.0,0.0,3511.0,0.0,3431.0,0.0,3335.0,0.0,3244.0,0.0,3151.0,0.0,3085.0,0.0,3059.0,0.0,3125.0,0.0,3095.0,0.0,3038.0,0.0,2934.0,0.0,3668.0,0.0,3678.0,0.0,3606.0,0.0,3419.0,0.0
народний депутат україни,1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,8.0,0.0,8.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,6.0,0.0
заступник голови постійної комісії верховної ради україни,1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
урядовий уповноважений,1120.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
голова інспекції,1120.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
державний секретар центрального органу державної влади,1120.1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
заступник міністра україни,1120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0
"заступник керівника головного управління, іншого органу державної виконавчої влади, підвідомчого кабінету міністрів україни",1120.1,6.0,0.0,5.0,0.0,6.0,0.0,6.0,1.0,9.0,1.0,9.0,0.0,9.0,0.0,9.0,1.0,10.0,0.0,12.0,0.0,12.0,0.0,11.0,0.0,12.0,0.0,7.0,1.0,7.0,1.0,9.0,1.0,8.0,1.0,9.0,1.0,7.0,1.0,8.0,0.0,9.0,0.0,14.0,0.0,18.0,0.0,17.0,0.0,29.0,0.0,30.0,0.0,27.0,0.0,27.0,0.0
голова агентства,1120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
державний секретар,1120.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
