date,unemployed,vacancies
2018-01-05,326767,83802
2018-01-06,316030,86154
2018-01-07,303860,82399
2018-01-08,297955,86814
2018-01-09,292832,100290
2018-01-10,287092,96964
2018-01-11,271441,97323
2018-01-12,301001,81163
2019-01-01,341652,58441
2019-01-02,364271,67789
2019-01-03,367011,84501
2019-01-04,340728,100044
2019-01-05,311352,90836
2019-01-06,300875,96160
2019-01-07,287086,93156
2019-01-08,280825,95418
2019-01-09,274988,108174
2019-01-10,268188,100864
2019-01-11,259338,102842
2019-01-12,288872,80879
2020-01-01,338163,59018
2020-01-02,373176,68081
2020-01-03,376779,76514
2020-01-04,349424,64057
2020-01-06,511388,58591
2020-01-07,517704,57927
2020-01-08,505975,60366
2020-01-09,473961,74218
